1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
227	29.934583	20.161447	0.248116	0.115870	91.7
228	29.739055	20.266746	0.247483	0.120557	85.4
229	29.822021	20.447184	0.246405	0.127373	84.6
230	30.002241	20.437819	0.246461	0.144506	85.5
231	29.550919	20.483017	0.246192	0.133792	86.0
232	30.207892	20.950958	0.243446	0.132652	85.2
233	29.921492	20.995148	0.243190	0.120450	86.7
234	29.531624	21.012192	0.243091	0.120407	87.3
235	29.873327	21.062830	0.242799	0.118446	87.9
236	29.879814	21.152156	0.242284	0.124334	86.3
237	29.466871	21.287656	0.241508	0.124222	84.8
238	29.887572	21.375914	0.241005	0.137278	85.1
239	29.855939	21.405297	0.240838	0.117751	86.4
240	29.577050	21.430624	0.240694	0.132398	84.9
241	29.674666	21.539107	0.240080	0.120488	85.1
242	29.548646	21.521183	0.240181	0.124597	85.8
243	29.612877	21.579767	0.239851	0.134279	84.6
244	30.145453	22.175541	0.236541	0.121733	85.3
245	30.203314	22.155404	0.236652	0.123681	86.4
246	29.629649	22.308143	0.235817	0.135228	89.2
247	29.778629	22.412591	0.235250	0.136436	86.6
248	30.005165	22.426482	0.235174	0.127074	87.4
249	29.742355	22.397527	0.235331	0.131217	86.8
250	29.564979	22.552654	0.234493	0.112121	86.5
251	29.769386	22.569249	0.234404	0.130919	85.5
252	29.452920	22.631606	0.234069	0.109834	85.2
253	29.755387	22.677926	0.233821	0.117520	86.1
254	29.894201	22.764203	0.233360	0.152463	85.9
255	29.382944	22.764622	0.233357	0.127455	86.3
256	29.717000	22.866516	0.232815	0.135924	85.3
257	29.582849	23.053859	0.231825	0.112804	84.4
258	29.686275	23.040997	0.231893	0.119638	89.7
259	29.512230	23.068408	0.231749	0.127492	94.6
260	30.115991	23.359280	0.230229	0.143767	88.5
261	29.627140	23.337671	0.230341	0.145839	85.5
262	29.766503	23.336635	0.230347	0.124667	85.6
263	29.943802	23.313704	0.230466	0.123596	87.1
264	29.348045	23.532564	0.229333	0.119060	85.0
265	29.444309	23.668565	0.228635	0.115321	85.8
266	29.797637	23.697713	0.228486	0.127108	85.2
267	29.399402	23.703253	0.228458	0.113052	86.5
268	29.521318	23.915484	0.227378	0.126045	85.3
269	29.808446	23.944986	0.227229	0.125386	85.5
270	29.898305	24.046500	0.226717	0.120518	89.8
271	29.849638	24.063209	0.226633	0.126049	87.3
272	29.362757	24.129110	0.226302	0.113832	86.8
273	29.310686	24.124513	0.226325	0.115238	87.1
274	29.333923	24.150518	0.226194	0.118035	86.5
275	29.688400	24.164225	0.226126	0.115655	93.9
276	30.121613	24.126759	0.226314	0.137473	89.0
277	29.784621	24.327564	0.225311	0.131608	87.3
278	29.693147	24.405105	0.224926	0.136286	85.9
279	29.549640	24.755479	0.223204	0.106611	86.2
280	29.958036	24.772587	0.223120	0.129241	85.7
281	29.958119	24.744720	0.223256	0.124315	90.3
282	30.081645	24.798805	0.222993	0.131260	86.2
283	29.589089	24.804333	0.222966	0.113163	88.3
284	29.759011	24.960920	0.222206	0.135620	86.0
285	29.961603	25.025772	0.221893	0.138689	87.1
286	30.048686	25.247500	0.220829	0.151705	84.8
287	29.271899	25.354987	0.220317	0.116177	86.7
288	29.779609	25.498278	0.219638	0.133794	85.9
289	29.604511	25.523403	0.219520	0.120491	85.3
290	29.946816	25.524887	0.219513	0.137749	85.8
291	29.514110	25.498673	0.219636	0.115458	85.4
292	29.493821	25.578697	0.219259	0.108511	85.2
293	29.787586	25.702447	0.218678	0.137315	89.8
294	29.763385	25.720418	0.218594	0.123083	86.9
295	29.511613	25.790905	0.218265	0.124255	87.1
296	29.785597	26.027016	0.217169	0.116445	87.8
297	29.698570	26.072321	0.216960	0.106620	86.0
298	29.802829	26.137600	0.216659	0.135342	85.6
299	30.089910	26.115552	0.216761	0.130800	86.2
300	29.976133	26.220902	0.216277	0.178832	86.4
301	30.090171	26.199304	0.216376	0.131050	85.2
302	30.088453	26.781989	0.213737	0.123162	85.2
303	29.643927	26.964870	0.212922	0.123190	87.3
304	29.435560	26.954514	0.212968	0.111304	89.7
305	29.698749	27.024247	0.212659	0.129180	88.2
306	29.528260	26.996377	0.212783	0.127578	86.7
307	30.059532	27.014636	0.212702	0.121268	86.4
308	29.984784	27.107364	0.212292	0.133578	86.8
309	29.833337	27.199327	0.211887	0.108264	85.0
310	29.777192	27.170496	0.212014	0.125422	86.7
311	29.970208	27.225952	0.211770	0.124359	85.0
312	30.024451	27.535161	0.210421	0.127646	87.9
313	29.510198	27.522483	0.210476	0.141876	86.1
314	29.810076	27.612597	0.210085	0.107162	85.1
315	29.639582	27.950219	0.208636	0.116373	85.8
316	29.794878	27.998419	0.208431	0.125977	89.4
317	29.479750	28.114447	0.207939	0.144798	87.7
318	29.575339	28.188925	0.207624	0.135004	86.6
319	29.946766	28.537557	0.206163	0.122155	87.4
320	29.983246	28.580113	0.205986	0.117487	84.3
321	29.613369	28.692889	0.205518	0.140627	86.1
322	29.778450	28.771464	0.205194	0.140789	85.6
323	29.962901	28.836089	0.204928	0.128902	86.0
324	29.871316	28.835495	0.204930	0.117028	86.8
325	29.631540	29.024266	0.204157	0.102612	85.8
326	29.585210	29.003388	0.204242	0.127181	85.7
327	29.748469	28.964832	0.204400	0.144910	88.8
328	29.780514	29.061178	0.204006	0.127914	86.8
329	30.033421	29.066102	0.203986	0.127407	87.3
330	29.851985	29.058003	0.204019	0.128292	100.5
